# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
KZ.BRVK,2005129_2010272,0.987,-0.1396,-2.940,0,-2.8004,N/A,N/A,N/A,N/A
KZ.BRVK,2005204_2006259,0.997,-0.1283,-0.489,0,-0.3607,N/A,N/A,N/A,N/A
KZ.BRVK,2005204_2010273,0.994,-0.1258,-0.791,0,-0.6652,N/A,N/A,N/A,N/A
KZ.BRVK,2005204_2015203,0.991,-0.0763,2.576,0,2.6523,N/A,N/A,N/A,N/A
KZ.BRVK,2005225_2011051,0.991,0.0854,-1.081,0,-1.1664,N/A,N/A,N/A,N/A
KZ.BRVK,2005244_2006075,0.999,-0.0337,-2.823,0,-2.7893,N/A,N/A,N/A,N/A
KZ.BRVK,2005244_2006343,0.991,0.2559,-0.148,0,-0.4039,N/A,N/A,N/A,N/A
KZ.BRVK,2005244_2010272,0.970,0.1263,-2.842,0,-2.9683,N/A,N/A,N/A,N/A
KZ.BRVK,2005289_2016199,0.986,0.0610,-0.381,0,-0.4420,N/A,N/A,N/A,N/A
KZ.BRVK,2005316_2009206,0.993,-0.3005,-1.395,0,-1.0945,N/A,N/A,N/A,N/A
KZ.BRVK,2006001_2008134,0.984,-0.1360,1.668,0,1.8040,N/A,N/A,N/A,N/A
KZ.BRVK,2006057_2008005,0.980,0.2139,-2.364,0,-2.5779,N/A,N/A,N/A,N/A
KZ.BRVK,2006075_2012315,0.984,0.0327,-4.386,0,-4.4187,N/A,N/A,N/A,N/A
KZ.BRVK,2006109_2013170,0.917,-0.1140,-4.415,0,-4.3010,N/A,N/A,N/A,N/A
KZ.BRVK,2006137_2010204,0.977,-0.1153,0.140,0,0.2553,N/A,N/A,N/A,N/A
KZ.BRVK,2006203_2015132,0.933,-0.0602,0.687,0,0.7472,N/A,N/A,N/A,N/A
KZ.BRVK,2006214_2013119,0.959,0.1596,-0.409,0,-0.5686,N/A,N/A,N/A,N/A
KZ.BRVK,2006214_2015128,0.987,0.2199,0.428,0,0.2081,N/A,N/A,N/A,N/A
KZ.BRVK,2006247_2008006,0.997,-0.1711,-3.058,0,-2.8869,N/A,N/A,N/A,N/A
KZ.BRVK,2006312_2008231,0.981,0.1955,0.137,0,-0.0585,N/A,N/A,N/A,N/A
KZ.BRVK,2006321_2010028,0.977,-0.0707,-1.134,0,-1.0633,N/A,N/A,N/A,N/A
KZ.BRVK,2006343_2010272,0.986,-0.1319,-2.694,0,-2.5621,N/A,N/A,N/A,N/A
KZ.BRVK,2006347_2008063,0.975,-0.1269,-0.617,0,-0.4901,N/A,N/A,N/A,N/A
KZ.BRVK,2007063_2012317,0.932,-0.1370,5.226,0,5.3630,N/A,N/A,N/A,N/A
KZ.BRVK,2007110_2011125,0.906,0.1712,-6.121,0,-6.2922,N/A,N/A,N/A,N/A
KZ.BRVK,2007110_2016270,0.998,-0.0627,-0.454,0,-0.3913,N/A,N/A,N/A,N/A
KZ.BRVK,2007115_2010025,0.933,0.1730,-4.874,0,-5.0470,N/A,N/A,N/A,N/A
KZ.BRVK,2007174_2014053,0.968,-0.1651,3.532,0,3.6971,N/A,N/A,N/A,N/A
KZ.BRVK,2007175_2008129,0.994,0.0918,-0.756,0,-0.8478,N/A,N/A,N/A,N/A
KZ.BRVK,2007175_2009240,0.992,-0.0433,-2.722,0,-2.6787,N/A,N/A,N/A,N/A
KZ.BRVK,2007175_2010352,0.993,-0.1444,-3.163,0,-3.0186,N/A,N/A,N/A,N/A
KZ.BRVK,2007175_2016353,0.984,0.0800,-2.416,0,-2.4960,N/A,N/A,N/A,N/A
KZ.BRVK,2007199_2012211,0.938,0.1581,-3.569,0,-3.7271,N/A,N/A,N/A,N/A
KZ.BRVK,2007220_2013064,0.996,0.0588,-0.470,0,-0.5288,N/A,N/A,N/A,N/A
KZ.BRVK,2007256_2008206,0.927,-0.0753,-4.346,0,-4.2707,N/A,N/A,N/A,N/A
KZ.BRVK,2007256_2008300,0.968,-0.0430,-1.587,0,-1.5440,N/A,N/A,N/A,N/A
KZ.BRVK,2007257_2008091,0.970,-0.1086,-1.808,0,-1.6994,N/A,N/A,N/A,N/A
KZ.BRVK,2007263_2007358a,0.932,-0.2389,0.301,0,0.5399,N/A,N/A,N/A,N/A
KZ.BRVK,2007263_2011062,0.937,-0.0838,1.656,0,1.7398,N/A,N/A,N/A,N/A
KZ.BRVK,2007278_2012088,0.969,0.0628,2.923,0,2.8602,N/A,N/A,N/A,N/A
KZ.BRVK,2007330_2014168,0.988,0.1176,-0.042,0,-0.1596,N/A,N/A,N/A,N/A
KZ.BRVK,2007331_2013162,0.976,0.2148,0.536,0,0.3212,N/A,N/A,N/A,N/A
KZ.BRVK,2007341_2012108,0.992,0.1352,1.843,0,1.7078,N/A,N/A,N/A,N/A
KZ.BRVK,2007358_2011062a,0.963,0.1318,1.342,0,1.2102,N/A,N/A,N/A,N/A
KZ.BRVK,2008005_2012157,0.991,0.0556,0.200,0,0.1444,N/A,N/A,N/A,N/A
KZ.BRVK,2008053_2017186,0.951,0.1260,0.235,0,0.1090,N/A,N/A,N/A,N/A
KZ.BRVK,2008059_2012306,0.938,0.1282,0.077,0,-0.0512,N/A,N/A,N/A,N/A
KZ.BRVK,2008065_2010272,0.988,0.1301,0.494,0,0.3639,N/A,N/A,N/A,N/A
KZ.BRVK,2008065_2012232,0.998,0.2462,1.885,0,1.6388,N/A,N/A,N/A,N/A
KZ.BRVK,2008067_2016209,0.994,0.2095,0.210,0,0.0005,N/A,N/A,N/A,N/A
KZ.BRVK,2008076_2010031,0.985,0.0848,-1.586,0,-1.6708,N/A,N/A,N/A,N/A
KZ.BRVK,2008122_2011056,0.977,-0.2084,0.301,0,0.5094,N/A,N/A,N/A,N/A
KZ.BRVK,2008129_2009240,0.997,-0.1378,-1.966,0,-1.8282,N/A,N/A,N/A,N/A
KZ.BRVK,2008129_2010352,0.998,-0.2372,-2.407,0,-2.1698,N/A,N/A,N/A,N/A
KZ.BRVK,2008129_2011080,0.988,0.3267,-0.371,0,-0.6977,N/A,N/A,N/A,N/A
KZ.BRVK,2008152_2011122,0.991,-0.1293,-0.699,0,-0.5697,N/A,N/A,N/A,N/A
KZ.BRVK,2008152_2011354,0.988,0.2121,-2.660,0,-2.8721,N/A,N/A,N/A,N/A
KZ.BRVK,2008152_2014016,0.999,0.2638,-1.076,0,-1.3398,N/A,N/A,N/A,N/A
KZ.BRVK,2008218_2012331,0.961,-0.2214,-2.208,0,-1.9866,N/A,N/A,N/A,N/A
KZ.BRVK,2008218_2015163,0.955,-0.1580,-2.377,0,-2.2190,N/A,N/A,N/A,N/A
KZ.BRVK,2008231_2017126,0.983,-0.2634,0.177,0,0.4404,N/A,N/A,N/A,N/A
KZ.BRVK,2008235_2015218,0.973,-0.0314,-0.606,0,-0.5746,N/A,N/A,N/A,N/A
KZ.BRVK,2008310_2017139,0.978,0.0504,1.621,0,1.5707,N/A,N/A,N/A,N/A
KZ.BRVK,2009054_2016245,0.986,-0.1491,-1.011,0,-0.8619,N/A,N/A,N/A,N/A
KZ.BRVK,2009192_2012169,0.951,0.0666,3.561,0,3.4944,N/A,N/A,N/A,N/A
KZ.BRVK,2009206_2012223,0.992,0.2201,4.166,0,3.9459,N/A,N/A,N/A,N/A
KZ.BRVK,2009240_2010352,0.997,-0.1014,-0.441,0,-0.3396,N/A,N/A,N/A,N/A
KZ.BRVK,2009240_2016353,0.992,0.1140,0.306,0,0.1920,N/A,N/A,N/A,N/A
KZ.BRVK,2009247_2017312,0.997,-0.2310,1.695,0,1.9261,N/A,N/A,N/A,N/A
KZ.BRVK,2009342_2014136,0.967,-0.2718,1.582,0,1.8538,N/A,N/A,N/A,N/A
KZ.BRVK,2010028_2015132,0.970,0.0399,1.575,0,1.5351,N/A,N/A,N/A,N/A
KZ.BRVK,2010064_2010109,0.984,0.0834,1.312,0,1.2286,N/A,N/A,N/A,N/A
KZ.BRVK,2010194_2013323,0.976,0.1671,3.945,0,3.7779,N/A,N/A,N/A,N/A
KZ.BRVK,2010272_2012232,0.987,0.1143,1.390,0,1.2757,N/A,N/A,N/A,N/A
KZ.BRVK,2010273_2015203,0.996,0.0482,3.366,0,3.3178,N/A,N/A,N/A,N/A
KZ.BRVK,2010352_2016353,0.990,0.1894,0.747,0,0.5576,N/A,N/A,N/A,N/A
KZ.BRVK,2010357_2013119,0.963,-0.1850,-1.250,0,-1.0650,N/A,N/A,N/A,N/A
KZ.BRVK,2011059_2017127,0.904,0.3135,1.160,0,0.8465,N/A,N/A,N/A,N/A
KZ.BRVK,2011119_2011205,0.984,0.1715,0.339,0,0.1675,N/A,N/A,N/A,N/A
KZ.BRVK,2011122_2011354,0.998,0.3391,-1.961,0,-2.3001,N/A,N/A,N/A,N/A
KZ.BRVK,2011122_2014016,0.992,0.3938,-0.377,0,-0.7708,N/A,N/A,N/A,N/A
KZ.BRVK,2011326_2014043,0.989,-0.0462,-0.891,0,-0.8448,N/A,N/A,N/A,N/A
KZ.BRVK,2011354_2014016,0.988,0.0543,1.585,0,1.5307,N/A,N/A,N/A,N/A
KZ.BRVK,2012023_2014039,0.994,0.0932,1.661,0,1.5678,N/A,N/A,N/A,N/A
KZ.BRVK,2012023_2015135,0.998,0.1003,3.571,0,3.4707,N/A,N/A,N/A,N/A
KZ.BRVK,2012141_2015162,0.970,0.0520,0.004,0,-0.0480,N/A,N/A,N/A,N/A
KZ.BRVK,2012326_2013329,0.975,0.1728,-1.390,0,-1.5628,N/A,N/A,N/A,N/A
KZ.BRVK,2012331_2015163,0.960,0.0514,-0.172,0,-0.2234,N/A,N/A,N/A,N/A
KZ.BRVK,2013170_2017186,0.904,0.1101,0.531,0,0.4209,N/A,N/A,N/A,N/A
KZ.BVAR,2004143_2009192,0.933,-0.0949,-0.234,0,-0.1391,N/A,N/A,N/A,N/A
KZ.BVAR,2004143_2012169,0.934,-0.1500,3.206,0,3.3560,N/A,N/A,N/A,N/A
KZ.BVAR,2004252_2012324,0.926,-0.0602,1.005,0,1.0652,N/A,N/A,N/A,N/A
KZ.BVAR,2004254_2010014,0.927,-0.1250,-0.864,0,-0.7390,N/A,N/A,N/A,N/A
KZ.BVAR,2004283_2009304,0.966,-0.1397,0.136,0,0.2757,N/A,N/A,N/A,N/A
KZ.BVAR,2004361_2005029,0.958,0.0330,0.000,0,-0.0330,N/A,N/A,N/A,N/A
KZ.BVAR,2004361_2005129,0.942,0.0800,0.216,0,0.1360,N/A,N/A,N/A,N/A
KZ.BVAR,2004361_2008065,0.931,-0.0934,-3.122,0,-3.0286,N/A,N/A,N/A,N/A
KZ.BVAR,2004364_2011022,0.908,0.0459,-1.577,0,-1.6230,N/A,N/A,N/A,N/A
KZ.BVAR,2004366_2005129,0.964,0.1091,-2.775,0,-2.8841,N/A,N/A,N/A,N/A
KZ.BVAR,2004366_2005204,0.949,0.0983,0.056,0,-0.0423,N/A,N/A,N/A,N/A
KZ.BVAR,2004366_2010273,0.941,0.0589,-0.646,0,-0.7049,N/A,N/A,N/A,N/A
KZ.BVAR,2005005_2012157,0.929,-0.0419,-3.003,0,-2.9611,N/A,N/A,N/A,N/A
KZ.BVAR,2005031_2009066,0.990,-0.1011,-1.420,0,-1.3189,N/A,N/A,N/A,N/A
KZ.BVAR,2005037_2012331,0.974,-0.2454,-2.536,0,-2.2906,N/A,N/A,N/A,N/A
KZ.BVAR,2005071_2006225,0.999,0.0505,3.366,0,3.3155,N/A,N/A,N/A,N/A
KZ.BVAR,2005071_2007175,0.986,-0.0452,3.413,0,3.4582,N/A,N/A,N/A,N/A
KZ.BVAR,2005071_2009240,0.994,-0.0963,0.686,0,0.7823,N/A,N/A,N/A,N/A
KZ.BVAR,2005071_2010352,0.992,-0.1480,0.294,0,0.4420,N/A,N/A,N/A,N/A
KZ.BVAR,2005071_2016353,0.996,-0.1019,0.869,0,0.9709,N/A,N/A,N/A,N/A
KZ.BVAR,2005116_2011051,0.977,-0.0736,-2.573,0,-2.4994,N/A,N/A,N/A,N/A
KZ.BVAR,2005129_2010272,0.998,-0.1006,-2.901,0,-2.8004,N/A,N/A,N/A,N/A
KZ.BVAR,2005204_2010273,0.997,-0.0358,-0.701,0,-0.6652,N/A,N/A,N/A,N/A
KZ.BVAR,2005225_2011051,0.996,-0.0736,-1.240,0,-1.1664,N/A,N/A,N/A,N/A
KZ.BVAR,2005244_2006075,1.000,-0.0607,-2.850,0,-2.7893,N/A,N/A,N/A,N/A
KZ.BVAR,2005244_2006343,0.996,-0.0341,-0.438,0,-0.4039,N/A,N/A,N/A,N/A
KZ.BVAR,2005244_2010272,0.989,-0.1087,-3.077,0,-2.9683,N/A,N/A,N/A,N/A
KZ.BVAR,2005316_2009206,0.991,-0.1235,-1.218,0,-1.0945,N/A,N/A,N/A,N/A
KZ.BVAR,2006057_2008005,0.986,-0.1761,-2.754,0,-2.5779,N/A,N/A,N/A,N/A
KZ.BVAR,2006075_2008065,0.994,-0.1210,-0.663,0,-0.5420,N/A,N/A,N/A,N/A
KZ.BVAR,2006109_2017186,0.972,-0.0588,-3.939,0,-3.8802,N/A,N/A,N/A,N/A
KZ.BVAR,2006137_2010204,0.990,-0.1193,0.136,0,0.2553,N/A,N/A,N/A,N/A
KZ.BVAR,2006225_2007175,0.990,-0.0963,0.046,0,0.1423,N/A,N/A,N/A,N/A
KZ.BVAR,2006225_2008129,0.995,-0.0714,-0.776,0,-0.7046,N/A,N/A,N/A,N/A
KZ.BVAR,2006225_2009240,0.997,-0.1449,-2.680,0,-2.5351,N/A,N/A,N/A,N/A
KZ.BVAR,2006225_2010352,0.996,-0.1957,-3.073,0,-2.8773,N/A,N/A,N/A,N/A
KZ.BVAR,2006225_2016353,0.998,-0.1476,-2.497,0,-2.3494,N/A,N/A,N/A,N/A
KZ.BVAR,2006259_2010273,0.998,-0.0492,-0.353,0,-0.3038,N/A,N/A,N/A,N/A
KZ.BVAR,2006312_2008231,0.933,-0.0735,-0.132,0,-0.0585,N/A,N/A,N/A,N/A
KZ.BVAR,2006343_2010272,0.997,-0.0769,-2.639,0,-2.5621,N/A,N/A,N/A,N/A
KZ.BVAR,2006347_2008063,0.972,-0.1059,-0.596,0,-0.4901,N/A,N/A,N/A,N/A
KZ.BVAR,2007110_2011125,0.941,0.0482,-6.244,0,-6.2922,N/A,N/A,N/A,N/A
KZ.BVAR,2007110_2016270,0.998,0.1873,-0.204,0,-0.3913,N/A,N/A,N/A,N/A
KZ.BVAR,2007175_2009240,0.995,-0.0473,-2.726,0,-2.6787,N/A,N/A,N/A,N/A
KZ.BVAR,2007175_2010352,0.996,-0.0994,-3.118,0,-3.0186,N/A,N/A,N/A,N/A
KZ.BVAR,2007175_2016353,0.989,-0.0470,-2.543,0,-2.4960,N/A,N/A,N/A,N/A
KZ.BVAR,2007199_2012211,0.963,-0.0579,-3.785,0,-3.7271,N/A,N/A,N/A,N/A
KZ.BVAR,2007220_2013064,0.995,-0.1892,-0.718,0,-0.5288,N/A,N/A,N/A,N/A
KZ.BVAR,2007255_2007335,0.963,-0.0503,0.142,0,0.1923,N/A,N/A,N/A,N/A
KZ.BVAR,2007257_2008091,0.969,-0.1236,-1.823,0,-1.6994,N/A,N/A,N/A,N/A
KZ.BVAR,2007263_2007358a,0.947,-0.2199,0.320,0,0.5399,N/A,N/A,N/A,N/A
KZ.BVAR,2007341_2012108,0.988,0.0752,1.783,0,1.7078,N/A,N/A,N/A,N/A
KZ.BVAR,2007358_2011062a,0.975,0.1928,1.403,0,1.2102,N/A,N/A,N/A,N/A
KZ.BVAR,2008005_2012157,0.995,0.1246,0.269,0,0.1444,N/A,N/A,N/A,N/A
KZ.BVAR,2008053_2017186,0.960,0.0580,0.167,0,0.1090,N/A,N/A,N/A,N/A
KZ.BVAR,2008065_2010272,0.998,0.0731,0.437,0,0.3639,N/A,N/A,N/A,N/A
KZ.BVAR,2008065_2012232,0.999,0.1792,1.818,0,1.6388,N/A,N/A,N/A,N/A
KZ.BVAR,2008067_2016209,0.993,0.1975,0.198,0,0.0005,N/A,N/A,N/A,N/A
KZ.BVAR,2008076_2010031,0.992,0.2028,-1.468,0,-1.6708,N/A,N/A,N/A,N/A
KZ.BVAR,2008122_2011056,0.984,-0.0594,0.450,0,0.5094,N/A,N/A,N/A,N/A
KZ.BVAR,2008129_2009240,0.998,-0.0758,-1.904,0,-1.8282,N/A,N/A,N/A,N/A
KZ.BVAR,2008129_2010352,0.998,-0.1262,-2.296,0,-2.1698,N/A,N/A,N/A,N/A
KZ.BVAR,2008129_2011080,0.984,0.2047,-0.493,0,-0.6977,N/A,N/A,N/A,N/A
KZ.BVAR,2008129_2016353,0.995,-0.0798,-1.721,0,-1.6412,N/A,N/A,N/A,N/A
KZ.BVAR,2008152_2011122,0.989,-0.1243,-0.694,0,-0.5697,N/A,N/A,N/A,N/A
KZ.BVAR,2008152_2011354,0.979,0.1101,-2.762,0,-2.8721,N/A,N/A,N/A,N/A
KZ.BVAR,2008218_2012331,0.909,-0.0774,-2.064,0,-1.9866,N/A,N/A,N/A,N/A
KZ.BVAR,2009192_2012169,0.955,-0.0534,3.441,0,3.4944,N/A,N/A,N/A,N/A
KZ.BVAR,2009206_2012223,0.992,0.1461,4.092,0,3.9459,N/A,N/A,N/A,N/A
KZ.BVAR,2009240_2010352,0.998,-0.0524,-0.392,0,-0.3396,N/A,N/A,N/A,N/A
KZ.BVAR,2009247_2017312,0.999,-0.1840,1.742,0,1.9261,N/A,N/A,N/A,N/A
KZ.BVAR,2010070_2011206,0.986,0.1330,0.971,0,0.8380,N/A,N/A,N/A,N/A
KZ.BVAR,2010272_2012232,0.997,0.1043,1.380,0,1.2757,N/A,N/A,N/A,N/A
KZ.BVAR,2010357_2013119,0.981,-0.1140,-1.179,0,-1.0650,N/A,N/A,N/A,N/A
KZ.BVAR,2011059_2017127,0.933,0.1505,0.997,0,0.8465,N/A,N/A,N/A,N/A
KZ.BVAR,2011119_2011205,0.973,0.0785,0.246,0,0.1676,N/A,N/A,N/A,N/A
KZ.BVAR,2011122_2011354,0.996,0.2331,-2.067,0,-2.3001,N/A,N/A,N/A,N/A
KZ.BVAR,2012319_2016348,0.912,0.0820,3.217,0,3.1350,N/A,N/A,N/A,N/A
KZ.CHKZ,1994217_2008176,0.988,0.5425,1.433,0,0.8905,N/A,N/A,N/A,N/A
KZ.CHKZ,1994277_2002248,0.999,0.0448,-2.545,0,-2.5898,N/A,N/A,N/A,N/A
KZ.CHKZ,1994299_2009005,0.961,0.5759,12.879,0,12.3031,N/A,N/A,N/A,N/A
KZ.CHKZ,1995180_2011109,0.988,0.1092,2.188,0,2.0788,N/A,N/A,N/A,N/A
KZ.CHKZ,1996065_2005249,0.992,0.0469,-1.362,0,-1.4089,N/A,N/A,N/A,N/A
KZ.CHKZ,1996088_2009194,0.990,0.5489,-0.212,0,-0.7609,N/A,N/A,N/A,N/A
KZ.CHKZ,1996163_2000168,0.966,0.6583,0.714,0,0.0557,N/A,N/A,N/A,N/A
KZ.CHKZ,1996361_2010306,0.915,0.1328,6.343,0,6.2102,N/A,N/A,N/A,N/A
KZ.CHKZ,1997117_2006347a,0.954,0.0697,1.542,0,1.4723,N/A,N/A,N/A,N/A
KZ.CHKZ,1997125_2010314,0.962,0.2211,-0.191,0,-0.4121,N/A,N/A,N/A,N/A
KZ.CHKZ,1997170_2002155,0.981,0.4984,0.038,0,-0.4604,N/A,N/A,N/A,N/A
KZ.CHKZ,1997170_2007265,0.977,0.2404,-2.365,0,-2.6054,N/A,N/A,N/A,N/A
KZ.CHKZ,1997293_2006231,0.945,0.3208,-4.653,0,-4.9738,N/A,N/A,N/A,N/A
KZ.CHKZ,1997327_2000156,0.976,0.5113,0.423,0,-0.0883,N/A,N/A,N/A,N/A
KZ.CHKZ,1998102_2005287,0.902,0.1369,-1.439,0,-1.5759,N/A,N/A,N/A,N/A
KZ.CHKZ,1998281_2004283,0.984,0.2333,-4.509,0,-4.7423,N/A,N/A,N/A,N/A
KZ.CHKZ,1998281_2009304,0.995,0.6037,-3.864,0,-4.4677,N/A,N/A,N/A,N/A
KZ.CHKZ,1998301_2010328,0.990,0.1731,-1.593,0,-1.7661,N/A,N/A,N/A,N/A
KZ.CHKZ,1998341_2008215,0.983,0.1358,-2.920,0,-3.0558,N/A,N/A,N/A,N/A
KZ.CHKZ,1999040_2004254,0.999,0.1428,-0.787,0,-0.9298,N/A,N/A,N/A,N/A
KZ.CHKZ,1999232_2011194,0.912,0.2148,1.985,0,1.7702,N/A,N/A,N/A,N/A
KZ.CHKZ,2000055_2002233,0.941,2.0468,3.990,0,1.9432,N/A,N/A,N/A,N/A
KZ.CHKZ,2000081_2002013,0.926,3.5698,6.494,0,2.9242,N/A,N/A,N/A,N/A
KZ.CHKZ,2000081_2008173,0.975,3.0980,0.501,0,-2.5970,N/A,N/A,N/A,N/A
KZ.CHKZ,2000157_2006075,0.956,-0.3320,-0.073,0,0.2590,N/A,N/A,N/A,N/A
KZ.CHKZ,2000161_2001045,0.998,-0.1573,-0.062,0,0.0953,N/A,N/A,N/A,N/A
KZ.CHKZ,2000210_2008136,0.923,0.2461,-1.630,0,-1.8761,N/A,N/A,N/A,N/A
KZ.CHKZ,2000216_2010271,0.924,-0.4220,1.105,0,1.5270,N/A,N/A,N/A,N/A
KZ.CHKZ,2000242_2005124,0.995,-0.1859,-2.630,0,-2.4441,N/A,N/A,N/A,N/A
KZ.CHKZ,2000329_2004143,0.959,-0.2836,-1.159,0,-0.8754,N/A,N/A,N/A,N/A
KZ.CHKZ,2000329_2009192,0.936,-0.1106,-1.125,0,-1.0144,N/A,N/A,N/A,N/A
KZ.CHKZ,2001007_2009212,0.989,0.0600,1.555,0,1.4950,N/A,N/A,N/A,N/A
KZ.CHKZ,2001064_2006203,0.968,-0.4903,0.672,0,1.1623,N/A,N/A,N/A,N/A
KZ.CHKZ,2001064_2006321,0.980,-0.5320,0.921,0,1.4530,N/A,N/A,N/A,N/A
KZ.CHKZ,2001090_2010357,0.998,-0.0698,-0.373,0,-0.3032,N/A,N/A,N/A,N/A
KZ.CHKZ,2001147_2006137,0.974,-0.0794,6.252,0,6.3314,N/A,N/A,N/A,N/A
KZ.CHKZ,2002048_2007199,0.925,-0.1984,-1.101,0,-0.9026,N/A,N/A,N/A,N/A
KZ.CHKZ,2002116_2009005,0.945,0.2087,-2.802,0,-3.0107,N/A,N/A,N/A,N/A
KZ.CHKZ,2002258_2004315,0.989,0.3479,-3.359,0,-3.7069,N/A,N/A,N/A,N/A
KZ.CHKZ,2002276_2010316,0.994,-0.3734,-2.046,0,-1.6726,N/A,N/A,N/A,N/A
KZ.CHKZ,2003284_2009066,0.991,-0.0790,-1.774,0,-1.6950,N/A,N/A,N/A,N/A
KZ.CHKZ,2004143_2009192,0.949,0.1701,0.031,0,-0.1391,N/A,N/A,N/A,N/A
KZ.CHKZ,2004251_2011019,0.993,-0.2296,2.916,0,3.1456,N/A,N/A,N/A,N/A
KZ.CHKZ,2004283_2009304,0.972,0.3683,0.644,0,0.2757,N/A,N/A,N/A,N/A
KZ.CHKZ,2004361_2005029,0.995,0.3830,0.350,0,-0.0330,N/A,N/A,N/A,N/A
KZ.CHKZ,2004361_2005044,0.994,-0.0666,-0.296,0,-0.2294,N/A,N/A,N/A,N/A
KZ.CHKZ,2004361_2005129,0.993,-0.0541,0.082,0,0.1361,N/A,N/A,N/A,N/A
KZ.CHKZ,2004361_2010272,0.992,0.0845,-2.580,0,-2.6645,N/A,N/A,N/A,N/A
KZ.CHKZ,2004362_2005029,0.989,0.4422,3.965,0,3.5228,N/A,N/A,N/A,N/A
KZ.CHKZ,2004362_2006133,0.983,0.0974,-0.296,0,-0.3934,N/A,N/A,N/A,N/A
KZ.CHKZ,2004364_2011022,0.972,-0.1281,-1.751,0,-1.6229,N/A,N/A,N/A,N/A
KZ.CHKZ,2004365_2005029,0.988,0.3606,0.316,0,-0.0446,N/A,N/A,N/A,N/A
KZ.CHKZ,2004365_2005277,0.995,0.2239,-2.008,0,-2.2319,N/A,N/A,N/A,N/A
KZ.CHKZ,2004366_2005044,0.998,-0.3406,-0.287,0,0.0536,N/A,N/A,N/A,N/A
KZ.CHKZ,2004366_2005129,0.998,-0.2400,-3.124,0,-2.8841,N/A,N/A,N/A,N/A
KZ.CHKZ,2004366_2005204,0.997,0.2463,0.204,0,-0.0423,N/A,N/A,N/A,N/A
KZ.CHKZ,2004366_2010272,0.997,-0.0999,-5.785,0,-5.6851,N/A,N/A,N/A,N/A
KZ.CHKZ,2004366_2010273,0.991,-0.2239,-0.929,0,-0.7051,N/A,N/A,N/A,N/A
KZ.CHKZ,2005002_2005026,0.999,-0.1125,-0.002,0,0.1105,N/A,N/A,N/A,N/A
KZ.CHKZ,2005029_2005277,0.985,-0.1378,-2.325,0,-2.1872,N/A,N/A,N/A,N/A
KZ.CHKZ,2005031_2009066,0.994,0.3409,-0.978,0,-1.3189,N/A,N/A,N/A,N/A
KZ.CHKZ,2005037_2005183,0.960,0.3779,-0.015,0,-0.3929,N/A,N/A,N/A,N/A
KZ.CHKZ,2005044_2005204,0.999,0.5865,0.491,0,-0.0955,N/A,N/A,N/A,N/A
KZ.CHKZ,2005044_2006259,0.996,0.1370,-0.321,0,-0.4580,N/A,N/A,N/A,N/A
KZ.CHKZ,2005044_2010273,0.993,0.1196,-0.642,0,-0.7616,N/A,N/A,N/A,N/A
KZ.CHKZ,2005071_2006225,0.998,-0.1434,3.172,0,3.3154,N/A,N/A,N/A,N/A
KZ.CHKZ,2005071_2008129,0.992,-0.0724,2.538,0,2.6104,N/A,N/A,N/A,N/A
KZ.CHKZ,2005071_2009240,0.995,0.0708,0.853,0,0.7822,N/A,N/A,N/A,N/A
KZ.CHKZ,2005071_2010352,0.991,-0.0499,0.392,0,0.4419,N/A,N/A,N/A,N/A
KZ.CHKZ,2005087_2006102,0.989,-0.1782,-1.095,0,-0.9168,N/A,N/A,N/A,N/A
KZ.CHKZ,2005116_2005225,0.985,0.0402,-1.291,0,-1.3312,N/A,N/A,N/A,N/A
KZ.CHKZ,2005129_2005244,0.987,0.4096,0.578,0,0.1684,N/A,N/A,N/A,N/A
KZ.CHKZ,2005129_2006343,0.998,0.2036,-0.036,0,-0.2396,N/A,N/A,N/A,N/A
KZ.CHKZ,2005129_2010272,0.999,0.1384,-2.662,0,-2.8004,N/A,N/A,N/A,N/A
KZ.CHKZ,2005204_2006259,0.999,-0.4513,-0.812,0,-0.3607,N/A,N/A,N/A,N/A
KZ.CHKZ,2005204_2010273,0.997,-0.4678,-1.133,0,-0.6652,N/A,N/A,N/A,N/A
KZ.CHKZ,2005244_2006075,1.000,-0.0477,-2.837,0,-2.7893,N/A,N/A,N/A,N/A
KZ.CHKZ,2005244_2006343,0.993,-0.2102,-0.614,0,-0.4038,N/A,N/A,N/A,N/A
KZ.CHKZ,2005244_2010272,0.983,-0.2719,-3.240,0,-2.9681,N/A,N/A,N/A,N/A
KZ.CHKZ,2006130_2007106,0.924,0.3491,4.499,0,4.1499,N/A,N/A,N/A,N/A
KZ.CHKZ,2006225_2008129,0.996,0.0705,-0.634,0,-0.7045,N/A,N/A,N/A,N/A
KZ.CHKZ,2006225_2009240,0.998,0.2151,-2.320,0,-2.5351,N/A,N/A,N/A,N/A
KZ.CHKZ,2006225_2010352,0.996,0.0973,-2.780,0,-2.8773,N/A,N/A,N/A,N/A
KZ.CHKZ,2006343_2010272,0.997,-0.0639,-2.626,0,-2.5621,N/A,N/A,N/A,N/A
