# Table S2. List of the probable timing errors,,,,,,,,,,
# Station code,Pair ID,CC,dt residual (s),dt measurement (s),Correction for instrument change (s),Prediction from relative relocation (s),"""Timing quality"" of the earlier event","""Timing quality"" of the later event","""GSN timing"" of the earlier event","""GSN timing"" of the later event"
BK.WDC,2005282_2011324,0.917,0.0357,0.749,0,0.7133,88.9108,99.8738,N/A,N/A
BL.AQDA,2004365_2005029,0.912,0.0348,-0.005,0,-0.0398,N/A,N/A,N/A,N/A
BL.AQDA,2004365_2005277,0.910,-5.1099,-7.343,0,-2.2331,N/A,N/A,N/A,N/A
BL.AQDA,2004366_2005044,0.955,0.0595,0.113,0,0.0535,N/A,N/A,N/A,N/A
BL.AQDA,2005029_2005277,0.950,-5.0915,-7.282,0,-2.1906,N/A,N/A,N/A,N/A
BL.AQDA,2005044_2006259,0.913,-0.5098,-0.961,0,-0.4512,N/A,N/A,N/A,N/A
BL.AQDA,2005071_2006225,0.901,-14.1694,-10.856,0,3.3134,N/A,N/A,N/A,N/A
BL.CMPA,2004362_2006133,0.901,0.1411,-0.262,0,-0.4031,N/A,N/A,N/A,N/A
BL.CMPA,2004365_2005029,0.935,0.0448,0.005,0,-0.0398,N/A,N/A,N/A,N/A
BL.CMPA,2004365_2005277,0.929,0.0520,-2.181,0,-2.2330,N/A,N/A,N/A,N/A
BL.CMPA,2004366_2005044,0.975,0.0566,0.110,0,0.0534,N/A,N/A,N/A,N/A
BL.CMPA,2004366_2005129,0.972,0.0479,-2.832,0,-2.8799,N/A,N/A,N/A,N/A
BL.CMPA,2004366_2005204,0.986,0.0662,0.022,0,-0.0442,N/A,N/A,N/A,N/A
BL.CMPA,2005029_2005277,0.924,0.0635,-2.127,0,-2.1905,N/A,N/A,N/A,N/A
BL.CMPA,2005044_2005204,0.988,0.0683,-0.028,0,-0.0963,N/A,N/A,N/A,N/A
BL.CMPA,2005071_2006225,0.975,1.3935,4.707,0,3.3135,N/A,N/A,N/A,N/A
BL.CMPA,2005116_2005225,0.908,0.0617,-1.257,0,-1.3187,N/A,N/A,N/A,N/A
BL.JATB,2004362_2006133,0.978,0.0758,-0.327,0,-0.4028,N/A,N/A,N/A,N/A
CB.GOM,2012141_2015162,0.988,2.2633,2.218,0,-0.0453,N/A,N/A,N/A,N/A
CC.STD,2007110_2016270,0.987,0.1737,-0.224,0,-0.3977,N/A,0,N/A,N/A
CC.TCBU,2009247_2017312,0.949,0.9827,2.912,0,1.9293,N/A,0,N/A,N/A
CC.TMBU,2011354_2014016,0.948,1.0108,2.543,0,1.5322,N/A,0,N/A,N/A
CC.TMBU,2012235_2016353,0.928,0.9884,8.148,0,7.1596,N/A,0,N/A,N/A
CC.WIFE,2008067_2016209,0.919,-1.0167,-1.014,0,0.0027,N/A,0,N/A,N/A
CD.ENH,1995111_1995145,0.986,0.0693,-0.709,0,-0.7783,N/A,N/A,N/A,N/A
CH.FUORN,2012319_2016348,0.937,-0.0351,3.100,0,3.1351,N/A,99.6316,N/A,N/A
CH.SENIN,2006214_2013119,0.940,0.0301,-0.539,0,-0.5691,100,N/A,N/A,N/A
CH.SENIN,2008019_2011238,0.994,0.0348,0.138,0,0.1032,100,N/A,N/A,N/A
CI.BAK,2000338_2013111,0.932,0.0430,-1.103,0,-1.1460,N/A,N/A,N/A,N/A
CI.BEL,2012235_2016353,0.915,-0.0319,7.127,0,7.1589,N/A,99.8459,N/A,N/A
