# Table S1. Information of the strong repeating earthquakes used in this study,,,,,,,,,,
# Pair ID,aRelative relocation,,,,Information of the repeating events,,,,,,Horizontal seperation (m),Azimuth (°) ,bVertical seperationb (m),cOrigin time correction (s),Date ,Time,Latitude (°),Longitude (°),Depth (km),Magnitude
1996177_2011122,43,360,-393,1.2018 ,1996/06/25,21:37:02.680,39.971,142.839,44.9,5.0
,,,,,2011/05/02,21:25:49.540,40.102,142.564,32.3,5.1
1996177_2011354,64,144,-107,3.4730 ,1996/06/25,21:37:02.680,39.971,142.839,44.9,5.0
,,,,,2011/12/20,06:26:23.210,40.099,142.559,52.7,5.1
1996177_2014016,90,139,-25,1.9376 ,1996/06/25,21:37:02.680,39.971,142.839,44.9,5.0
,,,,,2014/01/16,01:12:17.710,40.115,142.818,51.8,5.1
1996206_2016166,185,275,-492,1.4917 ,1996/07/24,23:53:22.420,51.701,-177.124,54.6,5.1
,,,,,2016/06/14,17:13:27.520,51.628,-177.053,54.2,5.1
1996276_2010227,422,101,-125,2.5780 ,1996/10/02,16:00:20.440,53.417,160.388,33.0,5.4
,,,,,2010/08/15,02:10:38.390,53.557,160.121,40.3,5.5
1996280_2014054,373,57,367,-1.6964 ,1996/10/06,10:02:42.110,-9.785,118.002,53.8,5.4
,,,,,2014/02/23,21:21:15.390,-9.817,117.957,33.7,5.0
1996290_2012334,299,115,6,-1.7608 ,1996/10/16,08:42:12.390,13.924,-92.063,33.0,5.2
,,,,,2012/11/29,19:32:31.750,13.757,-92.113,10.0,5.5
1996361_2010306,347,64,-129,-6.1924 ,1996/12/26,19:34:11.570,-5.360,151.357,107.1,5.8
,,,,,2010/11/02,06:39:55.060,-5.355,151.556,35.0,5.8
1997018_1999275,27,65,22,-1.1727 ,1997/01/18,17:13:50.680,24.179,122.668,55.6,5.0
,,,,,1999/10/02,17:14:17.810,24.069,122.434,44.7,5.2
1997018_2002258,379,152,-27,-1.5832 ,1997/01/18,17:13:50.680,24.179,122.668,55.6,5.0
,,,,,2002/09/15,01:06:55.800,24.098,122.463,36.0,5.1
1997018_2004315,353,138,-64,2.1232 ,1997/01/18,17:13:50.680,24.179,122.668,55.6,5.0
,,,,,2004/11/10,14:48:06.920,24.076,122.344,56.8,5.1
1997040_2005120,252,321,424,-2.5618 ,1997/02/09,23:11:04.670,-20.235,-173.629,39.8,5.0
,,,,,2005/04/30,08:28:37.570,-19.990,-173.680,10.0,5.0
1997071_2002171,469,165,-224,0.1838 ,1997/03/12,01:55:00.980,-23.452,-175.510,33.0,5.0
,,,,,2002/06/20,05:26:10.640,-23.473,-175.518,33.0,5.1
1997076_2003317,115,169,16,-0.5864 ,1997/03/17,09:23:17.010,41.897,142.110,76.5,5.1
,,,,,2003/11/13,22:39:20.580,41.857,142.117,74.4,5.0
1997076_2016270,93,138,-133,-0.0711 ,1997/03/17,09:23:17.010,41.897,142.110,76.5,5.1
,,,,,2016/09/26,02:24:37.740,41.880,142.204,64.0,5.0
1997098_2014171,245,337,95,-1.6315 ,1997/04/08,15:14:23.300,52.060,-171.408,45.9,5.5
,,,,,2014/06/20,12:16:46.370,51.769,-171.254,41.9,5.4
1997101_2011125,123,346,198,-1.6110 ,1997/04/11,12:01:45.470,26.124,128.500,33.0,5.5
,,,,,2011/05/05,23:21:22.100,26.124,128.398,10.0,5.5
1997117_2006347a,217,309,138,-1.5088 ,1997/04/27,14:09:08.810,46.150,153.135,33.0,5.2
,,,,,2006/12/13,01:57:43.100,46.166,152.966,10.0,5.0
1997117_2008063,123,296,357,-1.0488 ,1997/04/27,14:09:08.810,46.150,153.135,33.0,5.2
,,,,,2008/03/03,11:22:35.660,46.257,152.931,10.0,5.3
1997125_2010314,371,280,230,0.3639 ,1997/05/05,05:44:17.380,14.906,119.889,33.0,5.5
,,,,,2010/11/10,10:30:15.660,14.923,119.868,21.0,5.5
1997128_2011122,159,334,-113,-1.6974 ,1997/05/08,14:01:10.240,12.267,-87.204,59.1,5.6
,,,,,2011/05/02,23:55:39.470,12.129,-87.470,28.0,5.4
1997170_2002155,175,138,81,0.4638 ,1997/06/19,10:05:19.930,24.852,125.285,49.1,5.0
,,,,,2002/06/04,17:20:57.090,24.850,125.353,48.9,5.1
1997170_2007265,286,56,30,2.6041 ,1997/06/19,10:05:19.930,24.852,125.285,49.1,5.0
,,,,,2007/09/22,08:00:18.940,24.855,125.267,54.4,5.1
1997170_2014260,0,300,57,1.0216 ,1997/06/19,10:05:19.930,24.852,125.285,49.1,5.0
,,,,,2014/09/17,23:18:55.450,24.841,125.351,42.8,5.4
1997190_2014132,205,290,148,0.4168 ,1997/07/09,09:36:07.010,35.434,139.989,64.0,5.1
,,,,,2014/05/12,23:35:02.310,35.597,140.059,55.3,5.1
1997245_2007016,114,64,130,-1.2215 ,1997/09/02,00:19:48.070,41.250,142.566,54.8,5.1
,,,,,2007/01/16,12:52:36.960,41.182,142.714,29.9,5.0
1997252_2007265,157,310,-348,1.9300 ,1997/09/09,05:45:47.370,5.789,-77.516,21.4,5.1
,,,,,2007/09/22,11:44:39.330,5.759,-77.437,24.3,5.0
1997264_2008231,113,189,-87,2.1127 ,1997/09/21,22:03:04.940,51.992,-170.566,33.0,5.2
,,,,,2008/08/18,02:21:19.070,52.146,-170.600,30.7,5.2
1997264_2017126,135,287,-283,1.6889 ,1997/09/21,22:03:04.940,51.992,-170.566,33.0,5.2
,,,,,2017/05/06,20:43:19.300,52.112,-170.543,31.7,5.2
1997267_2004133,365,319,271,-1.6318 ,1997/09/24,15:16:28.340,-21.024,-174.273,33.0,5.1
,,,,,2004/05/12,18:08:48.130,-20.741,-174.397,10.0,5.1
1997267_2007006,436,218,85,1.9065 ,1997/09/24,15:16:28.340,-21.024,-174.273,33.0,5.1
,,,,,2007/01/06,11:10:20.340,-20.829,-174.391,33.1,5.1
1997267_2014275,186,266,154,-2.3123 ,1997/09/24,15:16:28.340,-21.024,-174.273,33.0,5.1
,,,,,2014/10/02,07:02:05.150,-20.931,-174.290,10.0,5.1
1997268_2016078,451,191,-258,2.0125 ,1997/09/25,19:54:03.150,-12.496,166.468,33.0,5.6
,,,,,2016/03/18,12:49:12.910,-12.511,166.621,29.0,5.5
1997293_2006231,202,271,489,4.9109 ,1997/10/20,05:14:40.310,-25.611,-176.815,33.0,5.3
,,,,,2006/08/19,10:28:07.600,-25.624,-176.815,64.9,5.2
1997320_2012172,194,285,387,2.6881 ,1997/11/16,08:18:16.360,-4.956,103.189,58.3,5.3
,,,,,2012/06/20,09:59:04.590,-4.928,103.194,69.5,5.2
1997327_2000156,434,242,38,0.0872 ,1997/11/23,08:35:47.710,-5.405,102.523,33.0,5.1
,,,,,2000/06/04,17:38:03.060,-5.291,102.693,33.0,5.1
1998042_2011261,81,114,-115,1.2255 ,1998/02/11,02:25:44.390,41.995,142.317,74.8,5.2
,,,,,2011/09/18,10:39:48.400,42.036,142.315,69.4,5.1
1998080_2010254,376,237,-376,4.8171 ,1998/03/21,02:18:54.000,-4.253,-80.709,33.0,5.0
,,,,,2010/09/11,18:55:25.730,-4.244,-80.584,61.6,5.2
1998102_2005287,292,122,120,1.5656 ,1998/04/12,18:35:09.060,-23.718,-176.041,33.0,5.5
,,,,,2005/10/14,03:36:45.970,-23.713,-176.024,33.9,5.5
1998113_2006198,220,273,186,2.5156 ,1998/04/23,08:53:12.660,-17.690,-173.299,33.0,5.4
,,,,,2006/07/17,22:31:49.110,-17.669,-173.257,35.0,5.3
1998113_2014256,388,297,225,-1.9602 ,1998/04/23,08:53:12.660,-17.690,-173.299,33.0,5.4
,,,,,2014/09/13,18:22:14.020,-17.712,-173.126,11.0,5.4
1998129_2003021,129,321,-108,-0.5553 ,1998/05/09,11:42:11.640,13.621,-90.724,33.0,5.4
,,,,,2003/01/21,07:06:53.200,13.563,-90.858,33.0,5.4
1998134_2004046,59,301,260,1.1973 ,1998/05/14,20:03:17.660,-20.119,169.276,49.2,5.2
,,,,,2004/02/15,00:01:30.710,-20.033,169.226,46.6,5.2
1998134_2008192,306,322,-364,3.4761 ,1998/05/14,20:03:17.660,-20.119,169.276,49.2,5.2
,,,,,2008/07/10,16:01:06.490,-20.081,169.205,69.5,5.1
1998134_2011289,340,287,-194,5.5428 ,1998/05/14,20:03:17.660,-20.119,169.276,49.2,5.2
,,,,,2011/10/16,04:24:45.080,-20.040,169.144,81.1,5.1
1998134_2015290,326,262,-213,1.8665 ,1998/05/14,20:03:17.660,-20.119,169.276,49.2,5.2
,,,,,2015/10/17,21:02:30.450,-20.114,169.226,43.4,5.3
1998143_2015145,231,315,-378,3.8513 ,1998/05/23,15:44:37.710,-6.283,154.943,33.0,5.2
,,,,,2015/05/25,04:48:21.710,-6.419,155.003,44.0,5.4
1998172_2005069,122,360,273,2.1401 ,1998/06/21,08:03:54.240,12.853,-88.463,69.6,5.2
,,,,,2005/03/10,13:37:48.780,12.932,-88.419,68.5,5.1
1998172_2009186,308,145,298,1.6740 ,1998/06/21,08:03:54.240,12.853,-88.463,69.6,5.2
